q_a,label
fuck justin bieber. he's a fucking fag,1
its also funny how you stalked my whole twitter ! nice goin ! bitch !,1
hello bitch ! how's ur day going . good i hope :) it's beautiful and sunny !,1
hey. why you such a bitch .,1
how old are you . and how do you know michael .,1
love youu sexy thang(,1
what was your favorite toy to play with as a child .,1
who decided to take a shit on your face .,1
why do you follow the bandwagon . formspring. twitter. what's next gay justin beiber.,1
lmao.. yurr reall funny skinny ass bitchh.. hm.. that isn't really much of an insult now is it . what if i was fat . lol you suck at talkn shit :] later white trash skank :] ur supeare yougly nd that guy you like really isnt gonna come back around foare you. laterr,1
lol how cute you have friends that back you up :] doesnt matter. ur still a fake bitch :] go find a real bf. not someone out of ur league. lol ugly ass,1
shit talkin bitch,1
still a bitch :],1
suck it,1
whyy aree youu suchh aa faggot(:,1
youare yougly.,1
i have one foare your information wtf. that's my life not yours. you best think twice before you try to steal my stuff bitch.,1
show your face anonymous wtf . ! you make no sense you fake ugly bitch,1
(: stop hating on my page kthx.,1
..are you . all you can say lmfaoo. well your fake everyone knows it no need to go on about it(: sayoonarra<3,1
:] im sorry im not the one being a fake of some lady lol comeon now >.> be your damn self (: and im not fucking mental i know what js means. i think you need to stfu and get a damn life instead of beng on here and faking some girl ; btw nice comeback !,1
:] you are fake though :d . that makes no sense lolol why would you keep faking all these formsprings your stupid :p we all know the real ashlee girls formspring already soo fuck off may you .,1
:3 wow ashlee your fakes amuse me lmao okay you are retarded to keep this page upp :],1
`` im very sexy `` my fucking ass. dude that made me laugh so fucking hardd(: thank's for making my day ;d,1
13 . are you are at the perfect age to learn how to suck dick and give hand jobs.,1
ahaha my mom is dead :) but thanks ugly ass bitch that no body knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.,1
and you called me fat why .,1
are you fake .,1
are you mental . she made a proof video ! you cant lie,1
baha actually im going to go on now :) bitch are you fucking stupid . >.> the real ashlee has a proof video your dumb your probably just some old man behind a computer screen<3 go fuck yourself<3,1
betty is like adorable. you look like a crack heads shit in a toilet my dear,1
bitch stfu at least i recognize myself not lyk u,1
but your fake ! !,1
do i even know you . and why the fuck are you leaving shit on my wall. seriously . get a life.,1
does it make you mad you have tonsss of hate groups on myspace .,1
'don't call her a bad vv',0
dude are you serious your so stupidd >.> stfu ! :) and btw if your tired of people talking shit on your form spring delete this accountt >.> and be yourself are you that bad .,1
dude it seems like everyone hates you. you should just delete all your socialing sites. (:,1
everyone look this girl was using missy lockes pictures and i told her she was fake then she was like im not fake then she took bettys pictures. shes dumb ! http://w.formspring.me/lmt23,1
ew you are gross. ugly. bitch,1
faaake. :d,1
fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake fake,1
fake !,1
fake.,1
get a life you twisted bitch !,1
go to hell xd,1
